hour,price,charge_mw,discharge_mw,soc_mwh,ts,actual_price,predicted_price,forecast_error,daily_profit
0,57.21,0.0,12.6,36.0,2024-01-02 00:00:00,54.17,57.21,-3.039999999999999,4935.512
1,25.76,20.0,0.0,54.0,2024-01-02 01:00:00,48.26,25.76,22.499999999999996,0.0
2,29.52,20.0,0.0,72.0,2024-01-02 02:00:00,35.15,29.52,5.629999999999999,0.0
3,51.47,0.0,0.0,72.0,2024-01-02 03:00:00,30.59,51.47,-20.88,0.0
4,21.08,20.0,0.0,90.0,2024-01-02 04:00:00,52.65,21.08,31.57,0.0
5,60.93,0.0,0.0,90.0,2024-01-02 05:00:00,54.24,60.93,-6.689999999999998,0.0
6,61.41,0.0,0.0,90.0,2024-01-02 06:00:00,33.72,61.41,-27.689999999999998,0.0
7,67.81,0.0,0.0,90.0,2024-01-02 07:00:00,46.97,67.81,-20.840000000000003,0.0
8,53.52,0.0,0.0,90.0,2024-01-02 08:00:00,25.59,53.52,-27.930000000000003,0.0
9,64.83,0.0,0.0,90.0,2024-01-02 09:00:00,42.94,64.83,-21.89,0.0
10,52.02,0.0,0.0,90.0,2024-01-02 10:00:00,62.48,52.02,10.459999999999994,0.0
11,61.21,0.0,0.0,90.0,2024-01-02 11:00:00,53.64,61.21,-7.57,0.0
12,70.68,0.0,0.0,90.0,2024-01-02 12:00:00,57.74,70.68,-12.940000000000005,0.0
13,61.79,0.0,0.0,90.0,2024-01-02 13:00:00,87.73,61.79,25.940000000000005,0.0
14,78.05,0.0,0.0,90.0,2024-01-02 14:00:00,88.09,78.05,10.040000000000006,0.0
15,70.99,0.0,0.0,90.0,2024-01-02 15:00:00,73.8,70.99,2.8100000000000023,0.0
16,90.98,0.0,3.0,86.666667,2024-01-02 16:00:00,101.59,90.98,10.61,0.0
17,120.3,0.0,20.0,64.444444,2024-01-02 17:00:00,113.06,120.3,-7.239999999999995,0.0
18,96.75,0.0,20.0,42.222222,2024-01-02 18:00:00,120.71,96.75,23.959999999999994,0.0
19,105.26,0.0,20.0,20.0,2024-01-02 19:00:00,113.26,105.26,8.0,0.0
20,82.28,0.0,0.0,20.0,2024-01-02 20:00:00,111.06,82.28,28.78,0.0
21,71.84,0.0,0.0,20.0,2024-01-02 21:00:00,88.92,71.84,17.08,0.0
22,71.66,0.0,0.0,20.0,2024-01-02 22:00:00,48.19,71.66,-23.47,0.0
23,47.83,0.0,0.0,20.0,2024-01-02 23:00:00,51.14,47.83,3.3100000000000023,0.0
0,54.17,0.0,8.8,40.222222,2024-01-03 00:00:00,35.67,54.17,-18.5,3798.0659999999993
1,48.26,0.0,0.0,40.222222,2024-01-03 01:00:00,52.3,48.26,4.039999999999999,0.0
2,35.15,20.0,0.0,58.222222,2024-01-03 02:00:00,37.25,35.15,2.1000000000000014,0.0
3,30.59,20.0,0.0,76.222222,2024-01-03 03:00:00,34.64,30.59,4.050000000000001,0.0
4,52.65,0.0,0.0,76.222222,2024-01-03 04:00:00,56.83,52.65,4.18,0.0
5,54.24,0.0,20.0,54.0,2024-01-03 05:00:00,52.78,54.24,-1.4600000000000009,0.0
6,33.72,20.0,0.0,72.0,2024-01-03 06:00:00,81.88,33.72,48.16,0.0
7,46.97,0.0,0.0,72.0,2024-01-03 07:00:00,44.13,46.97,-2.8399999999999963,0.0
8,25.59,20.0,0.0,90.0,2024-01-03 08:00:00,50.46,25.59,24.87,0.0
9,42.94,0.0,0.0,90.0,2024-01-03 09:00:00,73.66,42.94,30.72,0.0
10,62.48,0.0,0.0,90.0,2024-01-03 10:00:00,50.25,62.48,-12.229999999999997,0.0
11,53.64,0.0,0.0,90.0,2024-01-03 11:00:00,82.94,53.64,29.299999999999997,0.0
12,57.74,0.0,0.0,90.0,2024-01-03 12:00:00,59.35,57.74,1.6099999999999994,0.0
13,87.73,0.0,0.0,90.0,2024-01-03 13:00:00,80.14,87.73,-7.590000000000003,0.0
14,88.09,0.0,0.0,90.0,2024-01-03 14:00:00,53.3,88.09,-34.790000000000006,0.0
15,73.8,0.0,0.0,90.0,2024-01-03 15:00:00,80.97,73.8,7.170000000000002,0.0
16,101.59,0.0,0.0,90.0,2024-01-03 16:00:00,77.19,101.59,-24.400000000000006,0.0
17,113.06,0.0,20.0,67.777778,2024-01-03 17:00:00,125.06,113.06,12.0,0.0
18,120.71,0.0,20.0,45.555556,2024-01-03 18:00:00,100.26,120.71,-20.44999999999999,0.0
19,113.26,0.0,20.0,23.333333,2024-01-03 19:00:00,101.92,113.26,-11.340000000000003,0.0
20,111.06,0.0,3.0,20.0,2024-01-03 20:00:00,103.99,111.06,-7.070000000000007,0.0
21,88.92,0.0,0.0,20.0,2024-01-03 21:00:00,70.11,88.92,-18.810000000000002,0.0
22,48.19,0.0,0.0,20.0,2024-01-03 22:00:00,73.04,48.19,24.85000000000001,0.0
23,51.14,0.0,0.0,20.0,2024-01-03 23:00:00,46.04,51.14,-5.100000000000001,0.0
0,35.67,20.0,0.0,68.0,2024-01-04 00:00:00,32.21,35.67,-3.460000000000001,3589.1591372000003
1,52.3,0.0,12.6,54.0,2024-01-04 01:00:00,39.01,52.3,-13.29,0.0
2,37.25,20.0,0.0,72.0,2024-01-04 02:00:00,21.67,37.25,-15.579999999999998,0.0
3,34.64,20.0,0.0,90.0,2024-01-04 03:00:00,41.0,34.64,6.359999999999999,0.0
4,56.83,0.0,0.0,90.0,2024-01-04 04:00:00,55.28,56.83,-1.5499999999999972,0.0
5,52.78,0.0,0.0,90.0,2024-01-04 05:00:00,53.62,52.78,0.8399999999999963,0.0
6,81.88,0.0,20.0,67.777778,2024-01-04 06:00:00,58.08,81.88,-23.799999999999997,0.0
7,44.13,20.0,0.0,85.777778,2024-01-04 07:00:00,27.34,44.13,-16.790000000000003,0.0
8,50.46,4.691358,0.0,90.0,2024-01-04 08:00:00,54.6,50.46,4.140000000000001,0.0
9,73.66,0.0,16.2,72.0,2024-01-04 09:00:00,57.06,73.66,-16.599999999999994,0.0
10,50.25,20.0,0.0,90.0,2024-01-04 10:00:00,78.46,50.25,28.209999999999994,0.0
11,82.94,0.0,20.0,67.777778,2024-01-04 11:00:00,53.2,82.94,-29.739999999999995,0.0
12,59.35,20.0,0.0,85.777778,2024-01-04 12:00:00,39.45,59.35,-19.9,0.0
13,80.14,0.0,12.4,72.0,2024-01-04 13:00:00,60.38,80.14,-19.759999999999998,0.0
14,53.3,20.0,0.0,90.0,2024-01-04 14:00:00,70.41,53.3,17.11,0.0
15,80.97,0.0,0.0,90.0,2024-01-04 15:00:00,51.61,80.97,-29.36,0.0
16,77.19,0.0,0.0,90.0,2024-01-04 16:00:00,99.59,77.19,22.400000000000006,0.0
17,125.06,0.0,20.0,67.777778,2024-01-04 17:00:00,83.88,125.06,-41.18000000000001,0.0
18,100.26,0.0,3.0,64.444444,2024-01-04 18:00:00,116.56,100.26,16.299999999999997,0.0
19,101.92,0.0,20.0,42.222222,2024-01-04 19:00:00,96.19,101.92,-5.730000000000004,0.0
20,103.99,0.0,20.0,20.0,2024-01-04 20:00:00,114.63,103.99,10.64,0.0
21,70.11,0.0,0.0,20.0,2024-01-04 21:00:00,78.96,70.11,8.849999999999994,0.0
22,73.04,0.0,0.0,20.0,2024-01-04 22:00:00,59.0,73.04,-14.040000000000006,0.0
23,46.04,0.0,0.0,20.0,2024-01-04 23:00:00,59.63,46.04,13.590000000000003,0.0
0,32.21,20.0,0.0,68.0,2024-01-05 00:00:00,27.89,32.21,-4.32,3621.312299552001
1,39.01,4.4444444,0.0,72.0,2024-01-05 01:00:00,47.17,39.01,8.160000000000004,0.0
2,21.67,20.0,0.0,90.0,2024-01-05 02:00:00,32.34,21.67,10.670000000000002,0.0
3,41.0,0.0,0.0,90.0,2024-01-05 03:00:00,30.29,41.0,-10.71,0.0
4,55.28,0.0,0.0,90.0,2024-01-05 04:00:00,40.48,55.28,-14.800000000000004,0.0
