hour,price,charge_mw,discharge_mw,soc_mwh,ts,actual_price,daily_profit
0,54.17,0.0,8.8,40.222222,2024-01-02 00:00:00,54.17,5990.6759999999995
1,48.26,0.0,0.0,40.222222,2024-01-02 01:00:00,48.26,0.0
2,35.15,20.0,0.0,58.222222,2024-01-02 02:00:00,35.15,0.0
3,30.59,20.0,0.0,76.222222,2024-01-02 03:00:00,30.59,0.0
4,52.65,0.0,0.0,76.222222,2024-01-02 04:00:00,52.65,0.0
5,54.24,0.0,20.0,54.0,2024-01-02 05:00:00,54.24,0.0
6,33.72,20.0,0.0,72.0,2024-01-02 06:00:00,33.72,0.0
7,46.97,0.0,0.0,72.0,2024-01-02 07:00:00,46.97,0.0
8,25.59,20.0,0.0,90.0,2024-01-02 08:00:00,25.59,0.0
9,42.94,0.0,0.0,90.0,2024-01-02 09:00:00,42.94,0.0
10,62.48,0.0,0.0,90.0,2024-01-02 10:00:00,62.48,0.0
11,53.64,0.0,0.0,90.0,2024-01-02 11:00:00,53.64,0.0
12,57.74,0.0,0.0,90.0,2024-01-02 12:00:00,57.74,0.0
13,87.73,0.0,0.0,90.0,2024-01-02 13:00:00,87.73,0.0
14,88.09,0.0,0.0,90.0,2024-01-02 14:00:00,88.09,0.0
15,73.8,0.0,0.0,90.0,2024-01-02 15:00:00,73.8,0.0
16,101.59,0.0,0.0,90.0,2024-01-02 16:00:00,101.59,0.0
17,113.06,0.0,20.0,67.777778,2024-01-02 17:00:00,113.06,0.0
18,120.71,0.0,20.0,45.555556,2024-01-02 18:00:00,120.71,0.0
19,113.26,0.0,20.0,23.333333,2024-01-02 19:00:00,113.26,0.0
20,111.06,0.0,3.0,20.0,2024-01-02 20:00:00,111.06,0.0
21,88.92,0.0,0.0,20.0,2024-01-02 21:00:00,88.92,0.0
22,48.19,0.0,0.0,20.0,2024-01-02 22:00:00,48.19,0.0
23,51.14,0.0,0.0,20.0,2024-01-02 23:00:00,51.14,0.0
0,35.67,20.0,0.0,68.0,2024-01-03 00:00:00,35.67,5956.27935932
1,52.3,0.0,12.6,54.0,2024-01-03 01:00:00,52.3,0.0
2,37.25,20.0,0.0,72.0,2024-01-03 02:00:00,37.25,0.0
3,34.64,20.0,0.0,90.0,2024-01-03 03:00:00,34.64,0.0
4,56.83,0.0,0.0,90.0,2024-01-03 04:00:00,56.83,0.0
5,52.78,0.0,0.0,90.0,2024-01-03 05:00:00,52.78,0.0
6,81.88,0.0,20.0,67.777778,2024-01-03 06:00:00,81.88,0.0
7,44.13,20.0,0.0,85.777778,2024-01-03 07:00:00,44.13,0.0
8,50.46,4.691358,0.0,90.0,2024-01-03 08:00:00,50.46,0.0
9,73.66,0.0,16.2,72.0,2024-01-03 09:00:00,73.66,0.0
10,50.25,20.0,0.0,90.0,2024-01-03 10:00:00,50.25,0.0
11,82.94,0.0,20.0,67.777778,2024-01-03 11:00:00,82.94,0.0
12,59.35,20.0,0.0,85.777778,2024-01-03 12:00:00,59.35,0.0
13,80.14,0.0,12.4,72.0,2024-01-03 13:00:00,80.14,0.0
14,53.3,20.0,0.0,90.0,2024-01-03 14:00:00,53.3,0.0
15,80.97,0.0,0.0,90.0,2024-01-03 15:00:00,80.97,0.0
16,77.19,0.0,0.0,90.0,2024-01-03 16:00:00,77.19,0.0
17,125.06,0.0,20.0,67.777778,2024-01-03 17:00:00,125.06,0.0
18,100.26,0.0,3.0,64.444444,2024-01-03 18:00:00,100.26,0.0
19,101.92,0.0,20.0,42.222222,2024-01-03 19:00:00,101.92,0.0
20,103.99,0.0,20.0,20.0,2024-01-03 20:00:00,103.99,0.0
21,70.11,0.0,0.0,20.0,2024-01-03 21:00:00,70.11,0.0
22,73.04,0.0,0.0,20.0,2024-01-03 22:00:00,73.04,0.0
23,46.04,0.0,0.0,20.0,2024-01-03 23:00:00,46.04,0.0
0,32.21,20.0,0.0,68.0,2024-01-04 00:00:00,32.21,6237.278373555999
1,39.01,4.4444444,0.0,72.0,2024-01-04 01:00:00,39.01,0.0
2,21.67,20.0,0.0,90.0,2024-01-04 02:00:00,21.67,0.0
3,41.0,0.0,0.0,90.0,2024-01-04 03:00:00,41.0,0.0
4,55.28,0.0,0.0,90.0,2024-01-04 04:00:00,55.28,0.0
5,53.62,0.0,0.0,90.0,2024-01-04 05:00:00,53.62,0.0
6,58.08,0.0,16.2,72.0,2024-01-04 06:00:00,58.08,0.0
7,27.34,20.0,0.0,90.0,2024-01-04 07:00:00,27.34,0.0
8,54.6,0.0,0.0,90.0,2024-01-04 08:00:00,54.6,0.0
9,57.06,0.0,0.0,90.0,2024-01-04 09:00:00,57.06,0.0
10,78.46,0.0,20.0,67.777778,2024-01-04 10:00:00,78.46,0.0
11,53.2,4.691358,0.0,72.0,2024-01-04 11:00:00,53.2,0.0
12,39.45,20.0,0.0,90.0,2024-01-04 12:00:00,39.45,0.0
13,60.38,0.0,0.0,90.0,2024-01-04 13:00:00,60.38,0.0
14,70.41,0.0,16.2,72.0,2024-01-04 14:00:00,70.41,0.0
15,51.61,20.0,0.0,90.0,2024-01-04 15:00:00,51.61,0.0
16,99.59,0.0,20.0,67.777778,2024-01-04 16:00:00,99.59,0.0
17,83.88,0.0,0.0,67.777778,2024-01-04 17:00:00,83.88,0.0
18,116.56,0.0,20.0,45.555556,2024-01-04 18:00:00,116.56,0.0
19,96.19,0.0,3.0,42.222222,2024-01-04 19:00:00,96.19,0.0
20,114.63,0.0,20.0,20.0,2024-01-04 20:00:00,114.63,0.0
21,78.96,0.0,0.0,20.0,2024-01-04 21:00:00,78.96,0.0
22,59.0,0.0,0.0,20.0,2024-01-04 22:00:00,59.0,0.0
23,59.63,0.0,0.0,20.0,2024-01-04 23:00:00,59.63,0.0
0,27.89,20.0,0.0,68.0,2024-01-05 00:00:00,27.89,6407.807603825001
1,47.17,0.0,20.0,45.777778,2024-01-05 01:00:00,47.17,0.0
2,32.34,20.0,0.0,63.777778,2024-01-05 02:00:00,32.34,0.0
3,30.29,20.0,0.0,81.777778,2024-01-05 03:00:00,30.29,0.0
4,40.48,0.0,0.0,81.777778,2024-01-05 04:00:00,40.48,0.0
5,34.07,9.1358025,0.0,90.0,2024-01-05 05:00:00,34.07,0.0
6,49.77,0.0,0.0,90.0,2024-01-05 06:00:00,49.77,0.0
7,57.55,0.0,16.2,72.0,2024-01-05 07:00:00,57.55,0.0
8,26.32,20.0,0.0,90.0,2024-01-05 08:00:00,26.32,0.0
9,71.94,0.0,12.4,76.222222,2024-01-05 09:00:00,71.94,0.0
